Das Altgerät/Altgeräte,old device
vorkommen,to occur
vorlesen,to read aloud
Die Wartezeit,waiting time
wenden an,to turn to
wirtschaften,to economise
Der Zahlungseingang,receipt of payment
Die Zahlungserinnerung,payment reminder
zurückrufen,to call back
zuvor,before
zweiteilig,in two parts
absehen,to foresee
Die Administration,administration
Die Akte/Akten,file/record
akzeptabel,acceptable
Der Anbieter/in,provider
Die Anforderung,requirement
Die Angelegenheit,matter
Das Audit,audit
aufstocken,to increase/augment
Die Aufstockung,accumulation of capital
auftreten,to occur
äußern,to express
ausweichen,to avoid
Die Auswirkung,effect
Die Automobilherstellung,automotive manufacturing
bedauern,to regret
beheben,to remedy
Der Beschwerdebrief,letter of complaint
beseitigen,to eliminate
Der Beweis,evidence
Die Bewertung,rating
Die Chance,chance
Der Clou,trick/key feature
darlegen,to present
definieren,to define
DIN /= Deutsches Institut für Normung,standards committee
durchhalten,to persevere
durchlaufen,to go through
Die Einhaltung,compliance
einmalig,one-time
exzellent,excellent
Das Flachbild,bas-relief
Die Folge,consequence
gekocht,cooked
genormt,standardised
gepresst,pressed
gerecht,fair
geschäftlich,commercial
geschehen,happened
Die Gesellschaft,society
Der Gott,god
gratis,free
Die Güte,goodness
gutmachen,to make it up (to sb)
HD /= High Definition,HD
Die Höflichkeit,politeness
die Innovation,innovation
Das Institut,institute
Die Internetseite,internet page
jedoch,however
Die Kälte,cold
Das Kantinenpersonal,canteen staff
Das Konfliktgespräch,conflict discussion
Das Konfliktverhalten,conflict behaviour
konsequent,consistent
Die Konsequenz,consequence
konstruktiv,constructive
kontinuierlich,continually
Das Konzentrat,concentrate
Die Kritik,critic
Die LED /= Leuchtdiode,LED
leidig,tiresome
Die Lieferschwierigkeit,delivery difficulty
Das Management,management
Die Methode,method
Das Mitglied,member
momentan,at the moment
Das Müsli,muesli
nachvollziehen,to understand
Der Nachweis,proof
negativ,negative
Die Neueinstellung,new appointment
Die Norm,norm
Die Normung,standardisation
Die Normungsorganisation,standards organisation
der/die Obsthändler/in,fruit merchant
Die Partei,party
Die Patientenakte,patient files
Der Personalausgang,staff exit
Die Pflegekraft,member of nursing staff
Der Prozess,trial/process
Das QMS,QMS
Das Qualitätsmanagement,quality management
der/die Qualitätsmanager/in,quality manager
Qualitätsstandard,quality standard
Qualitätsverbesserung,quality improvement
Rationalisierung,rationalisation
real,actual
Rede,speech
Rührei,scrambled egg
Saftkonzentrat,juice concentrate
Schichtplan,shift plan
Schulungsmaßnahme,training measure
schwach,weak
Spender,donor
Spiegelei,fried egg
Standard,standard
Start,start
Stationsschwester,ward nurse
Streitgespräch,debate
tolerant,tolerant
trotz,despite
Tunnel,tunnel
TV /= Television,TV (= television)
überarbeiten,to re-work
überprüfen,to check
Unannehmlichkeit,inconvenience
ungerecht,unfair
untereinander,among each other
unterziehen,to undergo
unverzüglich,immediate
VDA /= Verband der Automobilindustrie,VDA 
verallgemeinern,to generalise
veraltet,outdated
Verbesserung,improvement
versetzen,to transfer
Verständigung,understanding
verzeihen,to forgive
vollkommen,completely
Vordach,awning
Vorfall,incident
Vorstandssitzung,board meeting
Vorwurf,accusation
weiterempfehlen,to recommend
werben,to advertise
Die Werbung/Werbungen,advertisement
Der Witz/Witze,joke
Die Wurstplatte/Wurstplatten,cold meat platter
zertifiziert,certified
Die Zertifizierung,certification
Das Zubehör,supplies
zweifeln,to doubt
zwingen,to force
abfeiern,to celebrate
abstimmen,to vote
abwesend,absent
die Agenda/Agenden,agenda
Die Altersgruppe,age group
Die Altersklasse,age bracket
Die Ankündigung,announcement
anwesend,present
Die Aufstellung,installation
Der Ausblick,view
Der Auslandsvertrieb,distribution abroad
Der Beamer,projector
Die Beförderung,promotion
Die Besprechungspunkt,point of discussion
Die Besprechungsunterlagen /Pl.,meeting documents (pl.)
bestimmen,to determine
bewältigen,to overcome
Die Bewirtung,hospitality
bündeln,to bundle
der/die Bürgermeister/in,mayor
Das Controlling,controlling
Das Detail,detail
Die Diskussion,discussion
Die DOB /= Damenoberbekleidung,women's outer garments
effektiv,effective
einplanen,to plan/allow for
Die Einteilung,classification
Die Entwicklung,development
erheblich,considerable
Die Eröffnung,opening
Die Errichtung,establishment
Die Erwerbsquote,employment rate
erwerbstätig,employed
Die Erwerbstätigenquote,employment rate
Die Evaluation,evaluation
Der Expertenbericht,expert report
fahrbar,mobile
Die Festlegung,determination/definition
Das Fingerfood,finger food
der/die/ Flipchart,flip chart
Das fortbilden,to do further studies
der/die Friseur/in,hairdresser
Die Fußgängerzone,pedestrian zone
Das Gebiet,area
Die Geschäftschance,business opportunity
Die Gewinnspanne,profit margin
global,global
Das Großraumbüro,open-plan office
Die Gutscheinverlosung,raffle draw
herrichten,to arrange
Der Inhalt,content
intensiv,intensive
die Interessengemeinschaft,interest group
Die Jahresbilanz,annual balance sheet
Die Kapazität,capacity
kausal,causal
Die Kollektion,collection
Die Kooperation,cooperation
Der Kundenrabatt,customer discount
Die Leinwand,screen
Der Magnet,magnet
Der Marker,marker
Der Materialschrank,storage cupboard
Der Migrationshintergrund,migrant background
Der Mikrozensus,micro census
Die Mitarbeiterbesprechung,staff meeting
Das Mitarbeitermeeting,employee meeting
Die Moderationskarte,cue card
Der Moderationskoffer,presenter’s toolbox
moderieren,to present/compere
Die Nachfrage,request/demand
Der Netzwerkanschluss,network connection
Die Neueröffnung,reopening
Das Notebook,notebook
Die Ortsbegehung,site visit
Die Pinnwand,notice board
Die Planungsphase,planning phase
Die Preisentwicklung,price trend
produktiv,productive
Die Prognose,prognosis
Das Projekt,project
Die Projektplanung,project planning
Die Projektvorstellung,project presentation
der/die Protokollführer/in,minute keeper
protokollieren,to take minutes
Das Quartal,quarter
Die Quartalsaufstellung,quarterly financial report
realisieren,"to realise (plans, dreams)"
Die Realisierung,"realisation (of plans, dreams)"
Der Roboter,robot
Der Rückblick,retrospect
Die Schließung,closing-down
der/die Schreiner/in,carpenter
Das Segment,segment
der/die Sekretär/in,secretary
sicherlich,surely
Die Sitzung,session
der/die Stadtrat/Stadträtin,city counsellor
steigern,to increase
Der Tagesordnungspunkt,item of the agenda
Der Tagungsraum,conference room
Die Teambesprechung,team meeting
Das Teammeeting,team meeting
Die Terminabstimmung,arrangement of appointment
Die These,thesis
Die Überlegung,consideration
Der Umsatz,revenue
Die Verantwortung,responsibility
verbreiten,to spread
Der Vergleich,comparison
Der Verkaufsbericht,sales report
verkaufsoffen,open for business
Der Verlauf,process
vermeidbar,avoidable
vermerken,to make note of
Versprechen,promise
Vertriebsmeeting,sales meeting
Vertriebsweg,sales channel
Vorhaben,intention
Vorjahr,previous year
vorziehen,to prefer
Das Weihnachtsgeschäft,Christmas sales
weiterentwickeln,to further develop
Das Whiteboard,whiteboard
Die Wichtigkeit,importance
widersprechen,to contradict
Das Wissen,knowledge
Die Zukunftsprognose,forecast
Das Zusatzstudium,postgraduate studies
Abdeckung,coverage
abgelten,to settle (finan.)
Der Abschnitt,paragraph
Die Abteilungsleitung,head of department
Der Akku,battery
aktivieren,to activate
aktualisieren,to update
Die Aktualisierung,update
Die Anleitung,guidance
Die Anordnung,layout
Der Anschlusskontakt,connector contact
ansprechbar,responsive
Der Anspruch,claim/demand
Das Anstoßen,to toast
anzeigen,to show
Die Arbeitsfläche,worktop
Die Arbeitskleidung,work clothes
Der Arbeitsschutzschuh,protective footwear
Der Arbeitsunfähigkeit,inability to work
Der Arbeitsunfall,accident at work
das Arbeitsverhältnis,working relationship
ätzend,corrosive
aufladen,to (re)charge
auflegen,to hang up (phone)
Die Augenschädigung,eye damage
auseinander,apart
austauschen,to exchange
Die Bedienungsanleitung,operating instructions
Die Beendigung,termination
Der Befehl,order
befolgen,to obey (an order)
beinhalten,to contain
bekämpfen,to tackle
beliebig,as desired
benommen,dazed
Die Berücksichtigung,consideration (of a fact)
Die Berufsbekleidung,workwear
Die Berufsgruppe,occupation group
Die Berufskleidung,work clothes
Die Bestimmung,provision
betrieblich,operational
Die Betriebsvereinbarung,company agreement
beziehungsweise,respectively
bluten,to bleed
Die Blutung,bleeding
Der Chat,chat
Das Cover,cover
Der Dampf,steam
Der Daumennagel,thumbnail
detailliert,detailed
digital,digital
Das Display,display
Der E-Book-Reader,ebook reader
einrasten,to lock into place
Die Einstellung,settings/attitude
Das Element,element
entfernen,to remove
entladen,to discharge (energy)
ermitteln,to detect
erscheinen,to appear
der/die Ersthelfer/in,first aider
Die Evakuierung,evacuation
Das Feld,field
Die Ferien /Pl.,holidays (pl.)
Die Feuerlöscheinrichtung,fire extinguishing unit
Die Feuerwehr,fire brigade
Flatrate,flat rate
Flucht,escape (getaway)
Fluchtweg,escape route
Flüssigkeit,fluid
Folgejahr,following year
Fotoalbum,photo album
Fotokopierer,photo copier
freihalten,to keep clear
Freistellung,making available/free
Freizeitausgleich,time off in lieu
Funktion,function
Fußverletzung,foot injury
Gabelstapler,forklift trucks
gefährlich,dangerous
Gehörschutz,hearing protection
Gelände,grounds
gelangen,to succeed
gestatten,to permit
Gleichgewicht,balance
GPS,GPS
Großküche,industrial kitchen
Großlager,large warehouse
Handwerksbetrieb,craftsman’s business
Hauptmenü,main menu
herbeiholen,to fetch
herkömmlich,conventional
hinzufügen,to add
Jahresurlaub,annual leave
Kalenderfunktion,calendar function
Kalenderjahr,calendar year
Kernarbeitszeit,main working hours
Kittel,overalls
Kopfschutz,protective headgear
Kopfverletzung,head injury
Krankenwagen,ambulance
Kriterium,criteria
Kündigungsfrist,notice period
Kurzanleitung,brief instruction
Ladegerät,charger
Ladenöffnungszeit,store opening hours
Ladevorgang,loading process
Die Last,burden/load
Die Latzhose,overalls
der/die Leiter/in,manager
der/die Maler/in,painter
Der Mindesturlaub,minimum leave
mitliefern,to supply with
Das Mobiltelefon,mobile telephone
Die Navigation,navigation
Die Navigationsfunktion,navigation function
navigieren,to navigate
der/die Notarzt/Notärztin,emergency doctor
Der Notausgang,emergency exit
Die Notfallnummer,emergency number
Das Notizbuch,notepad
ordnungsgemäß,properly
Die Ortungsfunktion,location function
Der Overall,overalls
Die Pausenregelung,break regulation
Die Pausenzeit,break period
Der Pfeil,arrow
Das Piktogramm,pictogram
Die Platzwunde,laceration
Das Prinzip,principle
Das Probefoto,sample photo
Der QR-Code,QR code
Der Resturlaub,remaining leave
Der Rettungsdienst,rescue service
Die Route,route
Die Routenberechnung,route calculation
rückseitig,on the reverse
Die Rutschgefahr,slip hazard
sanft,gently
der/die Sanitäter/in,paramedic
schulpflichtig,required to attend school
Die Schutzausrüstung,safety equipment
Der Schutzhelm,safety helmet
schweben,to float
Die Sicherheitsbestimmung,safety regulation
Die Sicherheitsvorschrift,safety rule
Die SIM-Karte,sim card
Die Spätschicht,late shift
Die Speicherkarte/Speicherkarten,memory card
spitz,sharp
Der Splitter/Splitter,splinter
Der Standort/Standorte,location
Die Stolperfalle/Stolperfallen,trip hazard
Die Stolpergefahr/Stolpergefahren,trip hazard
Der Straßenbau,road works
die Sturzgefahr/Sturzgefahren,risk of falling
Das Suchfeld/Suchfelder,search box
das Suchsymbol/Suchsymbole,search symbol
Das Tablet/Tablets,tablet
Das Telefonat/Telefonate,telephone call
Der Touchscreen,touchscreen
Der Übergang/Übergänge,transition
die Überstundenregelung,overtime regulation
der Übertragungszeitraum,transfer period
unterteilen,to partition
Der Urlaubsanspruch,leave entitlement
Der Urlaubsantrag,time off request
Der USB-Anschluss,USB port
verbleiben,to remain
verbrennen,to burn
verfallen,to deteriorate
vergüten,to compensate
der/die Verletzte,injured person
Die Verletzung,injury
verwalten,to manage
Der Vorgang/Vorgänge,procedure
wöchentlich,weekly
Die Wunde/Wunden,wound
Die Zieladresse,target address
Der Zollstock/Zollstöcke,folding ruler
zoomen,to zoom
zumal,particularly as
Die Abgabe/Abgaben,submission
ablaufen,to expire
Die Abmahnung,written warning
Die Abrechnung,statement
der/die Abteilungsleiter/in,head of department
abziehen,to deduct/withdraw
der/die Abzug,withdrawal (finan.)
anderswo,somewhere else
anhand,by means of
Die Anrechnung,charges
anstreben,to strive
antreten,to compete
Die Arbeitsleistung,work performance
Die Arbeitslosenversicherung,unemployment insurance
arbeitssuchend,job-seeking
arbeitsunfähig,unable to work
Die Arbeitsvergütung,remuneration for work carried out
Die Arbeitsverhinderung,work disability
Der Aspekt,aspect
Der Aufbau,development
aufsteigen,to move up (fig.)
auslagern,to outsource
Die Ausnahmegenehmigung,special approval
Die Auszahlung,payment
automatisch,automatic
Die AV /= Arbeitslosenversicherung,unemployment insurance
bedürfen,to require
beeinträchtigend,detrimental
befördern,to promote
befristet,temporary
Die Begleitung,support
beiderseits,on both sides
Die Belegschaft,workforce
bemerken,to notice
der/die Berufskraftfahrer/in,professional driver
berühren,to touch
besetzen,to occupy
Die Betriebsstätte,business premises
betriebswirtschaftlich,economic
Der Blutdruck,blood pressure
brutto,gross (finan.)
Das Bruttogehalt,gross income
Die Bruttovergütung,gross compensation
der/die Coach,coach
Die Compliance,compliance
dastehen,to stand there
Die Durchsetzung,implementation
einbehalten,to withhold
Die Eingliederung,inclusion
Die Einigung,agreement
einwöchig,one-week
Das E-Learning,e-learning
Die Elektrotechnik,electro-technology
entgeltlich,for a fee
erarbeiten,to work out
ergreifen,to grip (also fig.)
erlernen,to learn
Die Erstattung,payment
Die Essensausteilung,food distribution
Die Fachrichtung,field/discipline
fähig,able
Der Fernkurs,distance learning course
Der Fernlehrgang,distance learning
Die Flexibilität,flexibility
Die Forderung,claim
Die Fortzahlung,continued payment
freistellen,to make available/release
Die Führungskraft,executive
Die Führungsqualität,leadership quality
Die Gehaltserhöhung,pay increase
Die Genehmigung,approval
genügend,sufficient
geprüft,checked
Das Geschäftsgeheimnis,trade secret
Die Gleichberechtigung,equal rights
Der Großteil,majority
Der Hauptsitz,headquarters
heutzutage,nowadays
hinweisen,to point out
Die Honorartätigkeit,freelance job
der/die Industriemeister/in,industrial foreman
der/die Installateur/in,installation technician
das Instrument,instrument
Die Interessenvertretung,advocacy group
interkulturell,inter-cultural
Der Jahresanfang,start of the year
Der Kalendermonat,calendar month
der/die Katholik/in,Catholic
Die Kirchensteuer,church tax
Die Klausel,clause
Die Konfession,confession
Die Konstruktion,construction
Der Konzern,group (business)
der/die Krankenpflegehelfer/in,nursing assistant
die KV /= Krankenversicherung,HI (= health insurance)
Das Lernangebot,learning opportunity
Die Lohnart,salary type
Die Lohnsteuer,income tax
losschießen /ugs.,to go ahead (coll.)
Der Minijob,mini job
nachfolgend,subsequent
der/die Nachfolger/in,successor
Die Nebenbeschäftigung,secondary employment
Die Nebentätigkeit,secondary employment
Der Nettobetrag,net amount
Das Nettogehalt,net income
Der Nettoverdienst,net earnings
nichtselbstständig,not self-employed
Das Outsourcing,outsourcing
Der Paragraph,paragraph
Die Personalleitung,head of personnel
Die Pflegeversicherung,nursing insurance
Die Probefrist,trial period
der/die Protestant/in,protestant
Der Puls,pulse
Die PV /= Pflegeversicherung,nursing insurance
realistisch,realistic
Die Reinigung,cleaning
rentenversichert,covered by pension insurance
Die RV /= Rentenversicherung,pension insurance
Die Schriftform,written form
Der Schutz,protection
der/die Schwerbehinderte,severely disabled person
sichergehen,to play safe
Der SolZ /= Solidaritätszuschlag,solidarity surcharge
Die Sozialabgabe,social security contributions
Die Sperrzeit,blocking time
die Steuerklasse,tax bracket
steuerlich,fiscal
Das Stillschweigen,silence
Das Streikverbot/Streikverbote,strike ban
Die Studiengemeinschaft,study/research association
Die SV /= Sozialversicherung,social insurance
tätig,active/employed
Die Teilzeitanstellung,part-time position
unrealistisch,unrealistic
unwirksam,ineffective
die UV/=Unfallversicherung,accident insurance
verbieten,to forbid
verlangen,to extend
Die Verringerung,reduction
Die Verschwiegenheitspflicht,confidentiality agreement
Die Versorgung,care/supply
Die Vertragsänderung,contract amendment
vorantreiben,to drive forward
/im Voraus,(in) advance
Das Vorfeld,run-up/preliminary stage
vorrätig,in stock
vorweisen,to show/produce
wachen,to watch
weiterbilden,to educate further
weitererzählen,"to pass on (story, news)"
Der Werkvertrag,service contract
wiederfinden,to recover
die Wirksamkeit,effectiveness
wirtschaftlich,economical
Die Zeitarbeit,temporary work
zulässig,reliable
Die Zustimmung,consent
aussterben,to go extinct
automatisieren,to automate
autonom,autonomous
belohnen,to reward
Das Benzin,petrol
Die Berufskrankheit,occupational illness
der/die Bibliothekar/in,librarian
dankbar,thankful/grateful
Die Entschlossenheit,determination
Das Ermessen,judgement
der/die Fernfahrer/in,long-haul truck driver
finanzieren,to finance
Die Förderung,funding
fröhlich,happy
Die Hautallergie,skin allergy
der Hochschulabschluss,university degree
jammern,to moan
der/die Lagerarbeiter/in,warehouse worker
der/die Lebensmitteltechniker/in,food technician
Der Lebensstandard,standard of living
Der Lehrgang/Lehrgänge,training course
der/die Mechatroniker/in,auto mechanic
Die Meisterwerkstatt,professional workshop
mutig,brave
die Naturwissenschaft,natural science
nervig,annoying
nötigen ,to bully/force
Die Perspektive,perspective
das Reinigungsmittel,cleaning agent
die Reparaturwerkstatt,repair workshop
die Robotik,robotics
das Schmiermittel,lubricating agent
die Selbstbedienungskasse,self-checkout
sensibel,sensitive
solange,as long as
die Spedition,haulage/shipping
die Technologie,technology
umschulen,to retrain
die Umschulungsmaßnahme,retraining measure
vornehmen,to undertake
die Wahrscheinlichkeit,probability
wenigstens ,at least
das Zeitalter,time period
die Zukunftsaussicht,future prospect
abbrechen,cancel
absolut,absolute
anlegen,to create
Der Atem,breath
der/die Arzthelfer/in,doctor’s assistant
aufeinander verlassen,to depend on one another
ausgegrenzt,excluded
der/die Außenseiter/in,outsider
ausüben,to exercise
Die Autobahn,motorway
Das Bauwesen,construction
beirren,to mislead
Der Berufsalltag,working day
Die Bestnote,highest mark
der/die Exot/in,exotic person
das Fachwissen,expert knowledge
flink,swift
die Frohnatur,cheerful nature
gutgehen,to go well
Der Handwerksberuf,craftsman's trade
klassisch,classic
Die Kreisstadt,district town
Der Lebensgefährte,life partner
lebenslustig,fun-loving
Der Machospruch /ugs.,macho-talk (coll.)
Die Männerdomäne,man’s world
Die Mindmap,mind map
pädagogisch,pedagogical
der/die Personaleinsatzleiter/in,head of personnel deployment
pragmatisch,pragmatic
der/die Professor/in,professor
quer,across/landscape
Die Seltenheit,rarity
Der Sicherheitsdienst,security service
Die Sicherheitsfirma,security firm
Die Skepsis,scepticism
steuern,to control
trauen,to trust
unterstellen,to assume/imply
unverschuldet,undeserved
Das Vertrauen,trust
Das Vorurteil,prejudice
wagen,to dare
wochenlang,week-long
der/die Zahnarzthelfer/in,dental assistant
zimperlich,finicky
zumindest,at least
