Die Ampel/Ampeln,traffic lights
Der Student,student (male)
Die Studentin,student (female)
studieren,to study
Der Taxifahrer,taxi driver (male)
Die Taxifahrerin,taxi driver (female)
Der Techniker,technician
Telefon,telephone
Traumberuf,dream job
treffen,to meet
Die Universität,university
unterrichten,to teach
vielleicht,maybe
wählen,to choose
Die Werkstatt,workshop
Das Wiederhören,(on telephone) talk again soon!
zuerst,first
Das Altenpflegeheim,old people's home
anbei,attached
Die Anrede,speech
Der Arm,arm
atmen,to breathe
Das Auge,eye
Der Bauch,stomach
Das Bein,leg
Die Bauchschmerzen /Pl.,stomach ache
Der Bescheid,notice (I'll let you know)
Die Besserung,recovery
Der Betreff,subject line
bevor,before
bleiben,to stay
Der Brief,letter
Der Briefteil,part of letter
Die Brust,chest
danach,after
Das Datum,date
dürfen,to be allowed to
Der Ellbogen/Ellenbogen,elbow
Der Empfänger,recipient
Das Entschuldigungsschreiben,letter of apology
erkälten,to get a cold
Die Erkältung,cold/flu
"euer, eure",your (informal)/yours
Das Fieber,fever
Der Finger,finger
freundlich,friendly (best regards)
"geehrter, geehrte",dear
Das Gesicht,face
Die Gesundheit,health
Die Gesundheitskarte,health insurance card
Die Grippe,flu
Die Gruppe,group
Das Haar,hair
Der Hals,throat
Der Hals-Nasen-Ohren-Arzt /HNO,throat-nose-mouth
Das Halsweh,sore throat
Die Hand,hand
Der Hausarzt,GP (general practicioner)
heiß,hot
Der Husten,cough
Hustensaft,cough syrup
Das Knie,knee
Der Kopf,head
Die Kopfschmerzen /Pl.,headache
Der Körper,body
Der Körperteil,body part
krank,ill
Der Krankheit,illness
Die Krankmeldung,sick note
Der März,march
Das Medikament,medicine
Der Mund,mouth
Der Nacken,neck
Die Nase,nose
Die Notfallsprechstunde,emergency consultation
Das Ohr,ear
Der Orthopäde,orthopaedist
Der Patient,patient (male)
Der Patientin,patient (female)
per,by
Das Pflaster,plaster
Das Praktikum,internship
Die Praktikumsbetreuerin,internship supervisor
Die Praxis,practice
Die Praxisgemeinschaft,joint practice
rauchen,to smoke
regelmäßig,regularly
Das Rezept,recipe
rot,red
Rücken,back
rund,round
Die Salbe,ointment
schicken,to send
Der Schmerz,pain
Der Schnupfen,to sniff
Die Schulter,shoulder
schwanger,pregnant
"sein, seine",his
Die Sprechstunde,consultation hours
Die Sprechstundenhilfe,receptionist
Das Sprechzimmer,consultation room
stark,strong
Die Stirn,forehead
Die Tablette,tablet
Der Termin,appointment
Der Tropfen,drops
Die Unterschrift,signature
Die Untersuchung,examination
Der Verband,association
verschieden,different
Die Vorsorge,provision
Das Wartezimmer,waiting room
Der Wechsel,change
wechseln,to change
wehtun,to hurt
wieder,again
wiederkommen,to come again
Der Zahn,tooth
Der Zeh,toe
zurzeit,currently
aufwachsen,to grow up
beantworten,to answer
Der Besuch,visit
Die Bewegung,movement
bilden,to form
Die Blume,flower
Der Dienst,service
extra,extra
Das Ferienhaus,holiday home
früher,earlier
geboren sein,to be born
gerade,at the moment
gucken,to watch
Der Hausflur,corridor
heiraten,to marry
Das Hobby,hobby
Der Ingenieur,engineer
Die Insel,island
die Inselrundfahrt,island tour
kennen,to know (somebody)
Der Koffer,suitcase
letzte,last
Das Meer,ocean
Der Mond,moon
Der Nachbar,neighbour (male)
Die Nachbarin,neighbour (female)
Die Natur,nature
packen,to pack
Die Postkarte,postcard
Die Reise,journey
Das Schiff,ship
Der Seehund,seal
Der Ski,ski
Der Strand,beach
stressig,stressful
Das Studium,course of study
stundenlang,for hours
Die Suppe,soup
süß,sweet
Das Tennis,tennis
Der Tourist,tourist
unregelmäßig,infrequent
Der Urlaub,holiday
verdienen,to earn
warten,to wait
Das Wetter,weather
anziehen,to dress
Der Anzug,suit
beige,beige
bequem,comfortable
besser,better
besten/am besten,best(the best)
bestimmt,certainly
blau,blue
blöd,stupid
Die Bluse,blouse
braun,brown
bringen,to bring
denken,to think
Der Einkaufsbummel,shopping spree
eng,tight
euch,you (informal)
Die Farbe,colour
furchtbar,terrible
gefallen,to please
gegenseitig,mutual
gelb,yellow
genauso,equally
glauben,to believe
grau,grey
günstig,good value
Das Hemd,shirt
Die Hose,trousers
ihm,him
Die Jacke,jacket
Die Jeans,jeans
Der Jogginganzug,tracksuit
Der Kassenbon,receipt
Das Kaufhaus,department store
Die Klamotten /Pl.,clothes
klasse,great
Das Kleid,dress
Die Kleidung,clothing
Das Kleidungsstück,item of clothing
lila,purple
Der Mantel,coat
meisten/am meisten,most (the most)
Die Mode,fashion
Das Modell,model
Die Mütze,hat
online,online
Die Ordnung,order
Das Paar,pair
passen,to fit
positiv,positive
probieren,to try
Der Prospekt,prospect
Der Pullover,jumper
raten,to advise
Der Rock,skirt
Der Schal,scarf
Der Schuh,shoe
schwarz,black
sicher,secure
Die Socke,sock
Der Sportschuh,trainer
Die Strickjacke,cardigan
Der Strumpf,stocking
tragen,to wear
Das T-Shirt,tshirt
typisch,typical
überhaupt,at all
umtauschen,to exchange
uns,us
vergessen,to forget
Der Wintermantel,winter coat
zurück,return
Die Achtung,caution
Der April,April
aufregen,to get excited/upset
Der August,August
bauen,to build
Der Baum,tree
besuchen,to visit
bewölkt,cloudy
Die Braut,bride
Der Dank,Thanks
darüber,about
Die Deutschlandkarte,map of Germany
Der Dezember,December
eben,even
einladen,to invite
Die Einladung,invitation
einverstanden,agreed
Das Eis,ice cream
Der Februar,February
Die Feier,celebration
feiern,to celebrate
Das Fest,party
freuen,to be happy
froh,glad
Der Frühling,spring
fühlen,to feel
Die Gartenparty,garden party
Der Geburtstag,birthday
Die Geburtstagstorte,birthday cake
Das Geschenk,present
glücklich,happy
Der Glückstag,lucky day
Der Grad,degrees
hageln,hail
Der Handschuh,glove
Der Hase,rabbit
Der Herbst,autumn
Die Himmelsrichtung,compass point
Die Hochzeit,wedding
Die Hochzeitsfeier,wedding party
Die Jahreszahl,year
Die Jahreszeit,season
Der Januar,January
Der Juli,July
Der Kalender,calendar
lieben,to love
Der Luftballon,air balloon
lustig,funny
Der Mai,May
Die Mama,mum
minus,minus
mitbringen,to bring with
nass,wet
nebelig,foggy
Der Norden,north
Der November,November
nun,now
Der Oktober,October
Das Oktoberfest,Octoberfest
Die Oma,Grandma
Der Osten,east
Das Osterei,easter egg
Das Osterfest,Easter
Der Osterhase,easter bunny
Das Ostern,Easter
Der Papa,dad
räumen,to clear
reden,to talk
regnen,to rain
samstags,on saturdays
Der Schatz,treasure
scheinen,to shine
schenken,to gift
schlecht,bad
Der Schnee,snow
Der Schneemann,snowman
schneien,to snow
Der Schokoladenkuchen,chocolate cake
Der Sekt,sparking wine
Der September,September
Der Sommer,summer
sonnig,sunny
Die Spezialität,speciality
Das Standesamt,registry office
stellen,to set
Der Süden,south
tanzen,to dance
Der Teller,plate
Die Torte,cake
trocken,dry
unglücklich,unhappy
Der Unglückstag,unlucky day
warm,warm
Das Weihnachten,Christmas
Der Weihnachtsbaum,Christmas tree
Die Weihnachtsfeier,Christmas party
Das Weihnachtsgeschenk,Christmas present
Der Weihnachtsmann,Santa claus
Das Westdeutschland,West Germany
Der Westen,west
Der Wetterbericht,weather report
wieso,why
