Die Unzufriedenheit,dissatisfaction,,
die Vereinbarkeit,compatibility,,
das Verhältnis,relationship,,
verhandeln,to negotiate,,
Die Verhandlung,negotiation,,
verschenken,to gift/give away,,
vertraglich,contractual,,
vervollständigen,to complete,,
vorgehen,to approach,,
Die Wechselschicht,alternate shift,,
weitermachen,to continue,,
Die Zufriedenheit,satisfaction,,
zunächst,first,,
Der Zwilling,twin,,
abbauen,to break down,,
abhalten,to prevent,,
abmontieren,to dissemble,,
Die Abreise,departure,,
Der Abwasserschacht,manhole (waste water shaft),,
Der Alaskaseelachs,alaska pollack,,
anbringen,to affix,,
Die Anreise,arrival,,
anreisen,to arrive,,
anschrauben,to screw on,,
Der Arbeitsabschnitt,work section,,
Die Arbeitsanweisung,work instruction,,
Der Arbeitsbereich,work area,,
Die Arbeitsplatzbeschreibung,job description,,
Der Arbeitsprozess,working process,,
Die Artischocke,artichoke,,
Der Arztbesuch,visit to the doctor,,
Die Aufforderung,prompt,,
auffüllen,to fill up,,
aufstemmen,to prise open,,
Die Auftragsbestätigung,order confirmation,,
Die Aufzeichnung,recording,,
auslegen,to interpret,,
ausleihen,to lend,,
ausrechnen,to calculate,,
Das Baubüro,site office,,
Der Bauplan,blueprint,,
Der Beifahrersitz,front passenger seat,,
Die Beilage,supplement/side dish,,
Die Bemerkung,remark,,
Die Bequemlichkeit,comfort,,
betanken,refuelling,,
Der Beton,concrete,,
der/die Betriebsrat,supervisory board member,,
bevorzugen,to favour,,
beziehen,to obtain,,
Der Bohrhammer,drill hammer,,
Die Buchungsbestätigung,booking confirmation,,
Die Buchungsnummer,booking number,,
checken,to check,,
Der Dachboden,attic,,
dennoch,however,,
derartig,of its type,,
Die Dienstleistung,service,,
dokumentieren,to document,,
Die Dropbox,dropbox,,
durchgehen,to go through,,
durchschauen,to look through,,
Der Eingang,inbox,,
einpflegen,to update,,
entfernt,(distance) away,,
Das Entrecôte,entrecôte steak,,
erkranken,to fall ill,,
erreichbar,contactable,,
Die Etage,floor (of a building),,
extern,external,,
Der Fahrersitz,driver’s seat,,
Die Fahrgemeinschaft,car sharing,,
festgehalten,held tight,,
der/die Firmenkunde/Firmenkundin,company client,,
Der Firmentransporter,company transporter/van,,
Die Flugverbindung,connection (flight),,
föhnen,to hair dry,,
freinehmen,to take leave,,
fußläufig,within walking distance,,
Das Gasrohr,gas pipe,,
Der Gasthof,guest house,,
gegebenenfalls,as applicable,,
Die Geschäftsreise,business trip,,
Das Gewerbegebiet,industrial estate,,
Die Halterung,bracket,,
handeln,to trade,,
Die Hauspost,internal mail,,
Der Heizkörper,radiator,,
Der Heizungsanschluss,heating connection,,
Das Heizungsrohr,heating pipe,,
Die Heizungstherme,heater,,
Das Hotelbuchungsportal,hotel booking portal,,
Die Hotelkategorie,hotel category,,
der Innenhof,inner courtyard,,
die Inventur,inventory,,
jeweilig,respective,,
Die Kabeltrommel,cable reel,,
Der Kalbsbraten,roast veal,,
Der Karton,package,,
Die Kiste,box,,
kleinschrittig,in small steps,,
Die Klimaanlage,air conditioning system,,
komplex,complex,,
Die Kundenunterlagen /Pl.,customer records,,
Die Kurpackung,cure package,,
kurzfristig,short-term,,
Das Lamm,lamb,,
Das Lammcarré,lammcarré,,
lehnen,to lean,,
Die Leitung,line,,
Die Lieferadresse,delivery address,,
Der Lieferschein,delivery slip,,
Der Lieferwagen,delivery van,,
Das Lüftungsrohr,ventilation pipe,,
der/die Maurer/in,wall builder,,
Das Meeting,meeting,,
Der Mietautoservice,car rental service,,
mittellang,mid-length,,
Die Montageanleitung,assembly instruction,,
montieren,to assemble,,
Die Notwendigkeit,necessity,,
oftmals,oftentimes,,
Die Onlinesuche,online search,,
Die Organisation,organisation,,
Die Präsentation,presentation,,
Der Probedurchlauf,dry-run,,
Der Probelauf,test run,,
Die Qualitätssicherung,quality assurance,,
rausfahren /ugs.,to drive out (coll.),,
raussuchen /ugs.,to choose (coll.),,
Die Reaktion,reaction,,
Die Reinigungsperson,member of cleaning staff,,
Die Reiseroute,itinerary,,
restlich,remaining/left-over,,
Die Richtlinie,guideline,,
Das Rind,beef,,
Die Rohrdämmung,tubing insulation,,
runterfahren /ugs.,to turn off (coll.),,
runterladen /ugs.,to download (coll.),,
Der Schichtwechsel,shift change,,
Der Schlitz,slit,,
Der Schnitt,cut,,
schrauben,to screw,,
Die Schulung,training,,
Der Seifenspender,soap dispenser,,
Die Sicherungskopie,backup copy,,
spontan,spontaneous,,
Der Stick,usb stick,,
Das Suchergebnis,search result,,
Das System,system,,
Die Tagessuppe,soup of the day,,
Die Tagung,convention,,
Der Takt,pace,,
Die Therme,spa,,
Das Toilettenpapier,toilet paper,,
unangenehm,unpleasant,,
unpassend,unsuitable,,
Die Verbindlichkeit,liability,,
Das Verbindungsstück,connecting piece,,
verneinen,to deny,,
verschließen,to seal,,
der/die Vertreter/in,representative,,
der/die Vorarbeiter/in,foreman,,
Die Vorgabe,specification,,
Das vorlegen,approach,,
Das Waschbecken,to provide,,
Der Wäschereiservice,sink,,
Wasserrohr,laundry service,,
Wegbeschreibung,water pipe,,
wischen,description of the route,,
Das WLAN/WLANs,to wipe,,
Der Zementsack,wifi,,
Zementsäcke,cement sack,,
Die Zimmerkategorie,room category,,
zusenden,to submit,,
Die Zwischenzeit,interim period,,
Die Abbildung,illustration,,
Der Aufhänger,trailer (vehicle),,
ausführlich,in-depth,,
der/die Außendienstmitarbeiter/in,field agent,,
der/die Aussteller/in,exhibitor,,
Das Baddesign,bathroom design,,
Der Bau,construction,,
bedenken,to consider,,
begleiten,to accompany,,
beruhigen,to calm,,
beschäftigen,to occupy,,
besorgen,to provide,,
Die Besorgung,provision,,
der/die Besucher/in,visitor,,
betragen,to amount to,,
Das Datenblatt,data sheet,,
derzeit,currently,,
dreijährig,three-year,,
durchfahren,to pass through,,
ebenfalls,likewise,,
Die Eigenschaft,characteristic,,
Die Einkaufsabteilung,purchasing department,,
Die Einzelheit,detail,,
energieeffizient,energy-efficient,,
erläutern,to clarify,,
Die Erlebniswelt,theme park,,
erneuerbar,renewable,,
erstaunlich,astonishing,,
erweitern,to expand,,
Die Fachmesse,trade fair,,
Der Flyer,flyer,,
Der Geschäftsbrief,business letter,,
der/die Gesprächspartner/in,conversational partner,,
gezielt,targeted,,
Das Give-away,give-away,,
der/die Großhändler/in,wholesaler,,
Die Handtasche,handbag,,
hauptsächlich,mainly,,
Der Heimweg,way home,,
Die Heizungsanlage,heating unit,,
Die Höhe,height,,
Die Industrieanlage,industrial plant,,
Die Kappe,cap,,
Die Klimatechnik,air conditioning technology,,
Der Kongress,congress,,
der/die Konkurrent/in,rival,,
konkurrenzfähig,competitive,,
Kontakte knüpfen,to make contacts,,
das/der Kundencenter,customer service center,,
Das Kundengespräch,customer meeting,,
Die Leistungsschau,exhibition,,
Die Lieferzeit,delivery time,,
Das Login,log-in,,
Das Maß,extent,,
Die Messe,trade fair,,
Das Messegelände,trade fair grounds,,
Der Messestand,trade fair stand,,
Die Mitte,middle,,
Die Mühe, sich Mühe geben,effort, to make an effort
Die Neuheit,novelty,,
Der Nordwesten,northwest,,
orientieren,to orient,,
Das Partnerland,partner country,,
Das PDF,pdf,,
platzsparend,space-saving,,
Das Poster,poster,,
Der Posteraufhänger,poster hanger,,
Das PPT /= PowerPoint,ppt (= powerpoint),,
Die Präsenz,presence,,
premium,premium,,
Der Prospektständer,brochure rack,,
Die Saison,season,,
Die Sanitäranlage,sanitary facility,,
Die Sanitäreinrichtung,sanitary installation,,
schiefgehen /ugs.,to go wrong (coll.),,
Das Silikon,silicone,,
Der Small Talk,small talk,,
sodass,so that,,
Die Sommersaison,summer season,,
Das Sortiment,assortment,,
Der Ständer,stand,,
Der Sticker,sticker,,
Das Stoffmuster,fabric pattern,,
Die Übersicht,overview,,
Der Veranstalter/in,event organiser,,
Die Vereinbarung,agreement,,
Das Vergnügen,pleasure,,
Das Verkaufsgespräch,sales pitch,,
vertreten,to represent,,
Die Visitenkarte,business card,,
Die Wartung,maintenance,,
Der Wartungsvertrag,maintenance contract,,
weltgrößte,world’s biggest,,
Die Weltleitmesse,world-leading conference,,
Der Werbeslogan,advertising slogan,,
der/die Wettbewerber/in,competitor,,
wettbewerbsfähig,competitive,,
Die Zahlungsbedingung,payment conditions,,
Der Zentimeter,centimetre,,
zentral,central,,
zusammenfassen,to summarise,,
abgehen,to leave,,
allgemeinbildend,of general educational value,,
Die Änderungsschneiderei,tailor’s,,
ängstlich,anxious,,
Argen, im Argen liegen,bad, to be in a sorry state
Der Berufsabschluss,vocational qualification,,
Die Berufsbildungsreife,vocational education certificate,,
bescheiden,modest,,
Die Bildungseinrichtung,educational facility,,
Der Bildungsserver,education server,,
böse, jmdm. böse sein (ugs.),nasty, be angry with sb
drängen,to urge,,
durchmogeln /ugs.,to muddle through (coll.),,
durchsetzen,to carry out,,
Das Erwachsenenalter,adulthood,,
erwerben,to gain,,
existieren,to exist,,
Der Fakt,fact,,
familiär,familial,,
Der Fernunterricht,distance learning,,
Die Hochschule,university/college,,
Die Hochschulreife,higher education entrance qualification,,
Die Hoffnung,hope,,
der/die Industrieschneider/in,industrial tailor/seamstress,,
investieren,to invest,,
Das Jugendalter,adolescence,,
kämpfen,to tackle,,
mangelnd,insufficient,,
Die Mittlere Reife,school leaving certificate,,
Die Motivation,motivation,,
nachholen,to resit,,
örtlich,local,,
prägen,to shape,,
qualifiziert,qualified,,
Die Rechtschreibschwäche,spelling disability,,
schwerfallen,to find something difficult,,
Der Sekundarabschluss,secondary qualification,,
selbstbewusst,self-confident,,
stolz,proud,,
theoretisch,theoretical,,
Die Unterstützung,support,,
verraten,to betray,,
verständnisvoll,understanding,,
weiterbringen,to further,,
Weiterentwicklung,further development,,
wissenschaftlich,scientific,,
Die Zugangsvoraussetzung,entrance requirement,,
Der Afrorap,Afro rap,,
aneignen,to assimilate,,
Die Aufräumarbeit,clean-up work,,
Die Beanspruchung,claim,,
beherzigen,to take to heart,,
Die Belastungssituation,load situation,,
Die Belohnung,reward,,
beteiligen,to participate,,
Der Bewegungsdrang,urge to move,,
Der Burnout,burnout,,
Der Dauerzustand,permanent state,,
Die Delegation,delegation,,
Die Depression,depression,,
durchgeplant,well-planned,,
Der Einsatz,operation,,
ereignen,to happen,,
extrem,extreme,,
geradewegs,straightaway,,
gespült,rinsed,,
gestresst,stressed,,
gewöhnen,to get used to,,
Die Hausarbeit,homework,,
heben,to lift,,
komplett,complete,,
körperlich,physically,,
Das Lächeln,to smile,,
Das Lot, im Lot sein,plumb, to be in balance
Die Mahlzeit,mealtime,,
Die Managerkrankheit,executive burnout,,
Das Menschenleben,human life,,
Die Not,emergency,,
der/die Notfallsanitäter/in,emergency paramedic,,
Die Notsituation,emergency situation,,
permanent,permanent,,
pflegebedürftig,in need of care,,
Das Privatleben,private life,,
psychisch,psychological,,
Der Rap,rap,,
Die Rettungskraft,rescue team,,
schätzen,to estimate/appreciate,,
der/die Schwiegervater/mutter,stepfather/stepmother,,
Der Tinnitus,self doubt,,
Der Selbstzweifel,stress factor,,
Der Stressfaktor,stress resistance,,
Die Stressresistenz,syndrome,,
Das Syndrom,tinnitus,,
umsetzen,to implement,,
Der Unfallort,accident scene,,
ungeplant,unplanned,,
unterscheiden,to differ,,
veranschlagen,to estimate,,
Der Verkehrsunfall,traffic accident,,
vernachlässigen,to neglect,,
versterben,to pass away,,
wegstecken,to put away/hide,,
Das Wochenendseminar,weekend seminar,,
Die Work-Life-Balance,work-life balance,,
zurückziehen,to withdraw,,
zutrauen,to dare/feel up to,,
zweijährig,two-year,,
Die Analyse/Analysen,analysis,,
der/die Ansprechpartner/in,contact person,,
ausstrahlen,to radiate,,
Die Ausstrahlung,radiance,,
bewundern,to admire,,
der/die Buchhalter/in,accountant,,
Die Fachkenntnis,expert knowledge,,
fleißig,hard-working,,
Die Gelassenheit,composure,,
Die Hard Skills /Pl.,hard skills (pl.),,
methodisch,methodical,,
Das Motivationsschreiben,letter of motivation,,
Die Persönlichkeit,personality,,
der/die Psychologe/Psychologin,psychologist,,
Die Putzkraft,member of cleaning staff,,
schüchtern,shy,,
Die Schüchternheit,shyness,,
Schwäche,weakness,,
Selbstbewusstsein,self-confidence,,
Selbstvertrauen,weakness,,
die Soft Skills /Pl.,soft skills (pl.),,
souverän,sovereign,,
Die Stärkung,reinforcement,,
überwinden,to overcome,,
Die Unterrichtseinheit,unit,,
Das Volkshochschulprogramm ,evening classes programme,,
zugehen,to approach,,
