der Abend,evening
Die Zwiebe,onion
abends,in the evenings
Der Alltag,everyday
anrufen,to call
Die Arbeit,work
aufstehen,to get up
beginnen,to start
beide,both
Das Bett(Betten),bed
bis,until
Das Büro(Büros),office
Der Computer(Computer),computer
das Computerspiel(Computerspiele),computer game
erst,first
fernsehen,to watch television
Der Film(Filme),film
die Freundin(Freundinnen),friend (female)
früh,early
Der Fußball,football
gehen,to go
geöffnet,open
grillen,to grill/barbeque
halb,half past
Der Hunger,hunger
Die Idee(Ideen),idea
Das Interview(Interviews),interview
kochen,to cook
können,to be able to
lecker,delicious
leider,unfortunately
manchmal,sometimes
mehr,more
Der Mittag,midday
mittags,at midday
Die Mittagspause,lunchtime
Der Morgen,morning
morgens,in the mornings
müde,tired
Die Musik,music
Der Nachmittag,afternoon
nachmittags,in the afternoons
nachts,at night
nie,never
Der Notizzettel,note
oft,often
Die Pizza,pizza
putzen,to clean
schade,shame
schlafen,to sleep
Der Schluss,decision
Die Schule,school
spät,late
spazieren,to walk
Das Spiel,game
Der Sport,sport
Die Stunde,hour
Der Stundenplan,schedule
Der Supermarkt,supermarket
telefonieren,to telephone
tun,to do
Die Uhr,clock
Die Uhrzeit,time
um,at
Der Unterricht,lesson
Das Viertel,quarter to
vor,before
Der Vormittag,morning
vormittags,in the morning
wann,when
Die Wohnung(Wohnungen),flat
zeichnen,to draw
Die Zeit,time
ab,from
Der Altbau,old building
Die Angabe(Angaben),detail
Die Anzeige(Anzeigen),advert
Das Arbeitszimmer,workroom
Das Bad(Bäder),bathroom
baden,to bathe
Die Badewanne,bathtub
Das Badezimmer,bathroom
Der Balkon(Balkone),balcony
Der Bauernhof(Bauernhöfe),farm
bei,at
bekommen,to receive
Der Besichtigungstermin,appointment
besser,better
billig,cheap
breit,wide
circa,around
dazu,in addition
Die Diele,hallway
direkt,direct
dort,there
draußen,outside
dringend,urgent
dunkel,dark
Die Dusche,shower
Das Einfamilienhaus,detached hosue
einkaufen,to shop
Das Elektrogerät(Elektrogeräte),electronic device
Das Erdgeschoss,ground floor
ersetzen,to replace
Der Euro(Euros),euro
Der Fernseher(Fernseher),television
finden,to find
Die Firma(Firmen),company
Der Flur(Flure),corridor
frei,free
Die Garage(Garagen),garage
Der Garten(Gärten),garden
Der Gast(Gäste),guest
Das Geld(Gelder),money
gemütlich,comfortable
gepflegt,looked after
Das Gerät(Geräte),appliance
Das Geschäft(Geschäfte),business
Das Gespräch(Gespräche),interview
Größe,size
grün,green
hängen,to hang
hässlich,ugly
Die Hauptsache,main thing
Das Haus(Häuser),house
Das Haustier(Haustiere),pet
Die Heizung,heating
helfen,to help
hell,light
Der Herd,stove
Die Hilfe,help
hinten,behind
Das Hochhaus,high-rise building
"ihr, ihre",your/yours
Die Immobilie(Immobilien),property
insgesamt,in total
interessant,interesting
"jeder, jede, jedes",every
Der Juni,june
Die Kaffeemaschine,coffee machine
kalt,cold
Die Kaution,deposit
Der Keller(Keller),celler
Das Kinderzimmer,child's room
Der Kleiderschrank,wardrobe
Die Küche(Küchen),kitchen
Der Kühlschrank(Kühlschränke),fridge
lang,long
lassen,to leave
laut,loud
liebsten (am liebsten),favourite (at best)
liegen,to lie
maximal,maximal
Das Mehrfamilienhaus,apartment building
Die Miete,rent
mindestens,at least
Die Möbel (Pl.),furniture
möbliert,furnished
modern,modern
Der Monat(Monate),month
Die Monatsmieten,monthly rent
Der Müll,rubbish
neben,next to
Die Nebenkosten(Nebenkosten),additional costs
ohne,without
Das Obergeschoss,upper floor
Der Ort(Orte),place
Die Pflanze(Pflanzen),plant
Der Plan(Pläne),plan
Der Platz(Plätze),place
Der Quadratmeter(Quadratmeter),squaremetre
Das Regal(Regale),shelves
Das Reihenhaus,terraced house
ruhig,peaceful
schauen,to look
Das Schlafzimmer,bedroom
schmal,narrow
Der Schrank(Schränke),cupboard
Der Sessel(Sessel),chair
singen,to sing
sitzen,to sit
Das Sofa(Sofas),sofa
sofort,straight away
sollen,to be supposed to
Das Sonderangebot(Sonderangebote),special offer
Die Sonne,sun
sonstiges,other
Die Sprachschule,language school
spülen,to rinse
Die Spülmaschine(Spülmaschinen),dishwasher
Die Stadt(Städte),city
suchen,to look for
super,super
Der Teppich,carpet
Die Terrasse(Terrassen),terrace
Die Toilette(Toiletten),toilet
toll,great
Die Traumwohnung,dream flat
unbedingt,definitely
ungemütlich,uncomfortable
"unser, unsere",our/ours
warum,why
waschen,to wash
Die Waschmaschine,washing machine
Das WC,WC/toilet
wegziehen,to move away
weiter,further
wenn,if/when
werden,to become
wichtig,important
wohnen,to live
Die Wohnungsanzeige,flat advertisement
Die Wohnungssuche,search for housing
Das Wohnzimmer,living room
wunderschön,very beautiful
wünschen,to wish
zahlen,to count
Die Zeitung(Zeitungen),newspaper
Das Zentrum,centre
Das Zimmer(Zimmer),room
zu Fuß,on foot
